🔍 Scanning for 'lines' format chapters...
📊 Need translate: 12058, Done: 355, Failed: 5
  ⏳ 23 done, 0 failed, 12035 left (~13.8/s, ETA 0.2h)
  ⏳ 40 done, 0 failed, 12018 left (~10.2/s, ETA 0.3h)
  ⏳ 56 done, 0 failed, 12002 left (~9.6/s, ETA 0.3h)
  ⏳ 79 done, 0 failed, 11979 left (~13.8/s, ETA 0.2h)
  ⏳ 105 done, 0 failed, 11953 left (~15.6/s, ETA 0.2h)
  ⏳ 114 done, 0 failed, 11944 left (~5.4/s, ETA 0.6h)
  ⏳ 142 done, 0 failed, 11916 left (~16.8/s, ETA 0.2h)
  ⏳ 168 done, 0 failed, 11890 left (~15.6/s, ETA 0.2h)
  ⏳ 191 done, 0 failed, 11867 left (~13.8/s, ETA 0.2h)
  ⏳ 209 done, 0 failed, 11849 left (~10.8/s, ETA 0.3h)
  ⏳ 232 done, 0 failed, 11826 left (~13.8/s, ETA 0.2h)
  ⏳ 251 done, 0 failed, 11807 left (~11.5/s, ETA 0.3h)
  ⏳ 284 done, 0 failed, 11774 left (~19.6/s, ETA 0.2h)
  ⏳ 318 done, 0 failed, 11740 left (~20.4/s, ETA 0.2h)
  ⏳ 350 done, 0 failed, 11708 left (~19.2/s, ETA 0.2h)
  ⏳ 379 done, 0 failed, 11679 left (~17.4/s, ETA 0.2h)
  ⏳ 409 done, 0 failed, 11649 left (~18.0/s, ETA 0.2h)
  ⏳ 434 done, 0 failed, 11624 left (~15.0/s, ETA 0.2h)
  ⏳ 467 done, 0 failed, 11591 left (~19.8/s, ETA 0.2h)
  ⏳ 483 done, 0 failed, 11575 left (~9.6/s, ETA 0.3h)
  ⏳ 514 done, 0 failed, 11544 left (~18.6/s, ETA 0.2h)
  ⏳ 535 done, 0 failed, 11523 left (~12.6/s, ETA 0.3h)
  ⏳ 543 done, 0 failed, 11515 left (~4.8/s, ETA 0.7h)
  ⏳ 563 done, 0 failed, 11495 left (~12.0/s, ETA 0.3h)
  ⏳ 596 done, 0 failed, 11462 left (~19.8/s, ETA 0.2h)
  ⏳ 618 done, 0 failed, 11440 left (~13.2/s, ETA 0.2h)
  ⏳ 639 done, 0 failed, 11419 left (~12.6/s, ETA 0.3h)
  ⏳ 664 done, 0 failed, 11394 left (~15.0/s, ETA 0.2h)
  ⏳ 688 done, 0 failed, 11370 left (~14.4/s, ETA 0.2h)
  ⏳ 711 done, 0 failed, 11347 left (~13.7/s, ETA 0.2h)
  ⏳ 734 done, 0 failed, 11324 left (~13.8/s, ETA 0.2h)
  ⏳ 755 done, 0 failed, 11303 left (~12.6/s, ETA 0.2h)
  ⏳ 772 done, 0 failed, 11286 left (~10.2/s, ETA 0.3h)
  ⏳ 791 done, 0 failed, 11267 left (~11.4/s, ETA 0.3h)
  ⏳ 796 done, 0 failed, 11262 left (~3.0/s, ETA 1.0h)
  ⏳ 810 done, 0 failed, 11248 left (~8.4/s, ETA 0.4h)
  ⏳ 826 done, 0 failed, 11232 left (~9.6/s, ETA 0.3h)
